year,month,day,Weekday,dow_open,euf_open,us_6mn
2018,1,2,3,2.480934961,2.343,1.61
2018,1,3,4,2.485044922,2.3360001,1.59
2018,1,4,5,2.496485938,2.3809999,1.6
2018,1,5,6,2.511491992,2.39,1.58
2018,1,8,2,2.530840039,2.3799999,1.6
2018,1,9,3,2.531205078,2.3780001,1.6
2018,1,10,4,2.534813086,2.4290001,1.59
2018,1,11,5,2.539859961,2.4549999,1.58
2018,1,12,6,2.563839063,2.4780001,1.59
2018,1,16,3,2.598761914,2.5,1.63
2018,1,17,4,2.59107793,2.493,1.63
2018,1,18,5,2.614955078,2.502,1.63
2018,1,19,6,2.598734961,2.516,1.62
2018,1,22,2,2.602532031,2.5360001,1.65
2018,1,23,3,2.621486914,2.5440001,1.63
2018,1,24,4,2.628207031,2.574,1.63
2018,1,25,5,2.631306055,2.585,1.64
2018,1,26,6,2.646674023,2.575,1.64
2018,1,29,2,2.65842793,2.5620001,1.66
2018,1,30,3,2.619844922,2.5459999,1.66
2018,1,31,4,2.626816992,2.5389999,1.66
2018,2,1,5,2.608303906,2.5299999,1.64
2018,2,2,6,2.606178906,2.5280001,1.65
2018,2,5,2,2.533786914,2.4690001,1.67
2018,2,6,3,2.408516992,2.384,1.69
2018,2,7,4,2.489286914,2.4129999,1.73
2018,2,8,5,2.490230078,2.4379999,1.73
2018,2,9,6,2.399266992,2.36,1.73
2018,2,12,2,2.433775977,2.375,1.82
2018,2,13,3,2.454033008,2.3860001,1.8
2018,2,14,4,2.453582031,2.375,1.81
2018,2,15,5,2.504782031,2.4530001,1.82
2018,2,16,6,2.516593945,2.442,1.83
2018,2,20,3,2.512491016,2.434,1.87
2018,2,21,4,2.498806055,2.4370001,1.85
2018,2,22,5,2.485541016,2.4309999,1.84
2018,2,23,6,2.505050977,2.4290001,1.85
2018,2,26,2,2.540334961,2.4360001,1.87
2018,2,27,3,2.57357793,2.4309999,1.87
2018,2,28,4,2.548515039,2.427,1.86
2018,3,1,5,2.502403906,2.3879999,1.85
2018,3,2,6,2.439491016,2.351,1.86
2018,3,5,2,2.447131055,2.3379999,1.86
2018,3,6,3,2.496589063,2.384,1.87
2018,3,7,4,2.475815039,2.3719999,1.87
2018,3,8,5,2.485341016,2.393,1.89
2018,3,9,6,2.500489063,2.3799999,1.89
2018,3,12,2,2.537243945,2.3879999,1.89
2018,3,13,3,2.525775,2.3959999,1.9
2018,3,14,4,2.50869707,2.3860001,1.94
2018,3,15,5,2.483728906,2.368,1.95
2018,3,16,6,2.487733984,2.3860001,1.96
2018,3,19,2,2.489368945,2.3889999,1.99
2018,3,20,3,2.465064063,2.3719999,1.97
2018,3,21,4,2.472349023,2.3629999,1.95
2018,3,22,5,2.452600977,2.324,1.95
2018,3,23,6,2.399517969,2.3,1.92
2018,3,26,2,2.382574023,2.3129999,1.94
2018,3,27,3,2.427661914,2.325,1.93
2018,3,28,4,2.388308008,2.2959999,1.95
2018,3,29,5,2.394917969,2.315,1.93
2018,4,2,2,2.407659961,2.3139999,1.92
2018,4,3,3,2.369833008,2.2870001,1.92
2018,4,4,4,2.365415039,2.258,1.9
2018,4,5,5,2.431391016,2.3059999,1.93
2018,4,6,6,2.437359961,2.3129999,1.91
2018,4,9,2,2.403751953,2.323,1.93
2018,4,10,3,2.419894922,2.3450001,1.93
2018,4,11,4,2.427418945,2.3440001,1.95
2018,4,12,5,2.430282031,2.3440001,1.95
2018,4,13,6,2.458282031,2.3790001,1.97
2018,4,16,2,2.448315039,2.366,1.98
2018,4,17,3,2.468178906,2.377,2.02
2018,4,18,4,2.482084961,2.382,2.01
2018,4,19,5,2.471130078,2.39,2.01
2018,4,20,6,2.465739063,2.384,2.01
2018,4,23,2,2.448807031,2.391,2.04
2018,4,24,3,2.457993945,2.391,2.05
2018,4,25,4,2.407019922,2.3620001,2.03
2018,4,26,5,2.41287207,2.367,2.02
2018,4,27,6,2.434214063,2.3620001,2.02
2018,4,30,2,2.441041016,2.3559999,2.04
2018,5,1,3,2.411728906,2.342,2.05
2018,5,2,4,2.409763086,2.352,2.03
2018,5,3,5,2.383623047,2.332,2.02
2018,5,4,6,2.38652207,2.2969999,2.03
2018,5,7,2,2.431766016,2.325,2.05
2018,5,8,3,2.434134961,2.3059999,2.05
2018,5,9,4,2.439917969,2.3290001,2.05
2018,5,10,5,2.459166016,2.34,2.05
2018,5,11,6,2.475864063,2.359,2.06
2018,5,14,2,2.487936914,2.3540001,2.09
2018,5,15,3,2.480955078,2.332,2.09
2018,5,16,4,2.472232031,2.309,2.09
2018,5,17,5,2.475240039,2.307,2.1
2018,5,18,6,2.47077207,2.3030001,2.09
2018,5,21,2,2.488306055,2.298,2.14
2018,5,22,3,2.504755078,2.3219999,2.13
2018,5,23,4,2.475771094,2.282,2.11
2018,5,24,5,2.487735938,2.266,2.09
2018,5,25,6,2.478128906,2.2280001,2.07
2018,5,29,3,2.460658984,2.15,2.06
2018,5,30,4,2.446783008,2.1450001,2.08
2018,5,31,5,2.462078906,2.1440001,2.08
2018,6,1,6,2.454208984,2.185,2.1
2018,6,4,2,2.472755078,2.198,2.13
2018,6,5,3,2.482011914,2.174,2.13
2018,6,6,4,2.485414063,2.1639999,2.13
2018,6,7,5,2.519214063,2.2,2.12
2018,6,8,6,2.520928906,2.176,2.12
2018,6,11,2,2.533666992,2.1969999,2.11
2018,6,12,3,2.534682031,2.217,2.1
2018,6,13,4,2.532865039,2.208,2.09
2018,6,14,5,2.525465039,2.192,2.07
2018,6,15,6,2.511671094,2.1459999,2.07
2018,6,18,2,2.49442793,2.134,2.13
2018,6,19,3,2.476358984,2.0389999,2.13
2018,6,20,4,2.477116992,2.0610001,2.14
2018,6,21,5,2.463921094,2.043,2.12
2018,6,22,6,2.45269707,2.059,2.11
2018,6,25,2,2.446373047,2.0370001,2.13
2018,6,26,3,2.428189063,2.032,2.14
2018,6,27,4,2.430310938,2.01,2.1
2018,6,28,5,2.406418945,1.993,2.11
2018,6,29,6,2.432392969,2.026,2.11
2018,7,2,2,2.41615293,1.9940001,2.14
2018,7,3,3,2.435939063,2.024,2.12
2018,7,5,5,2.428582031,2.0540001,2.11
2018,7,6,6,2.43524707,2.0459999,2.13
2018,7,9,2,2.451919922,2.075,2.15
