,Unnamed: 0,year,month,day,hour,minute,weekday,change,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,dow_open,euf_open,us_6mn,ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15,ma16,ma17,ma18,ma19,ma20,ma31,labels,class
8530,8530,2018,12,12,6,20,4,-0.5,-0.5,-0.8,1.1,0.6,1.9,-1.7,-0.4,-0.4,-0.4,0.0,0.7,-0.4,1.4,-0.4,0.0,-2.1,-0.3,-0.4,-0.5,-0.7,1.7,-0.7,-0.7,-1.8,-0.7,-0.1,1.9,1.8,0.7,0.3,-0.3,0.3,0.7,0.7,-0.5,0.1,0.4,0.9,-0.6,0.3,-1.2,-1.2,-0.7,1.2,-0.3,-1.1,0.2,1.4,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,2.450908984,1.758,2.56,-0.6,0.5999999999999994,0.9999999999999999,1.2999999999999998,0.2999999999999997,-1.6000000000000005,-2.0000000000000004,-1.9000000000000004,-1.9000000000000004,-2.0,-2.7,-1.7000000000000004,-2.0,-4.1,-5.5,-6.2,-4.199999999999999,-2.0,0.19999999999999996,1.4,1.9999999999999998,0,-1
8535,8535,2018,12,12,6,25,4,-1.7,-1.7,-0.4,-0.4,-0.4,0.0,0.7,-0.4,1.4,-0.4,0.0,-2.1,-0.3,-0.4,-0.5,-0.7,1.7,-0.7,-0.7,-1.8,-0.7,-0.1,1.9,1.8,0.7,0.3,-0.3,0.3,0.7,0.7,-0.5,0.1,0.4,0.9,-0.6,0.3,-1.2,-1.2,-0.7,1.2,-0.3,-1.1,0.2,1.4,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,2.450908984,1.758,2.56,-1.6000000000000005,-2.0000000000000004,-1.9000000000000004,-1.9000000000000004,-2.0,-2.7,-1.7000000000000004,-2.0,-4.1,-5.5,-6.2,-4.199999999999999,-2.0,0.19999999999999996,1.4,2.4000000000000004,0.39999999999999997,1.4000000000000004,2.8,5.300000000000001,-1.0999999999999999,0,-1
8554,8554,2018,12,12,6,44,4,-0.7,-0.7,-0.1,1.9,1.8,0.7,0.3,-0.3,0.3,0.7,0.7,-0.5,0.1,0.4,0.9,-0.6,0.3,-1.2,-1.2,-0.7,1.2,-0.3,-1.1,0.2,1.4,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,2.450908984,1.758,2.56,5.300000000000001,5.5,5.699999999999999,4.2,3.3,2.0,1.9999999999999998,1.0999999999999999,-0.3999999999999999,-1.7999999999999998,-1.3,-1.0999999999999999,-2.3,-2.5,-1.9999999999999996,-4.5,-6.300000000000001,-6.5,-4.9,-4.199999999999999,-0.39999999999999925,0,1
8556,8556,2018,12,12,6,46,4,1.9,1.9,1.8,0.7,0.3,-0.3,0.3,0.7,0.7,-0.5,0.1,0.4,0.9,-0.6,0.3,-1.2,-1.2,-0.7,1.2,-0.3,-1.1,0.2,1.4,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.450908984,1.758,2.56,5.699999999999999,4.2,3.3,2.0,1.9999999999999998,1.0999999999999999,-0.3999999999999999,-1.7999999999999998,-1.3,-1.0999999999999999,-2.3,-2.5,-1.9999999999999996,-4.5,-6.300000000000001,-6.5,-4.9,-4.199999999999999,-4.9,-3.299999999999999,0.0,0,-1
8557,8557,2018,12,12,6,47,4,1.8,1.8,0.7,0.3,-0.3,0.3,0.7,0.7,-0.5,0.1,0.4,0.9,-0.6,0.3,-1.2,-1.2,-0.7,1.2,-0.3,-1.1,0.2,1.4,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.450908984,1.758,2.56,4.2,3.3,2.0,1.9999999999999998,1.0999999999999999,-0.3999999999999999,-1.7999999999999998,-1.3,-1.0999999999999999,-2.3,-2.5,-1.9999999999999996,-4.5,-6.300000000000001,-6.5,-4.9,-4.199999999999999,-4.9,-3.299999999999999,-1.7999999999999994,-0.3999999999999999,0,-1
8558,8558,2018,12,12,6,48,4,0.7,0.7,0.3,-0.3,0.3,0.7,0.7,-0.5,0.1,0.4,0.9,-0.6,0.3,-1.2,-1.2,-0.7,1.2,-0.3,-1.1,0.2,1.4,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,2.450908984,1.758,2.56,3.3,2.0,1.9999999999999998,1.0999999999999999,-0.3999999999999999,-1.7999999999999998,-1.3,-1.0999999999999999,-2.3,-2.5,-1.9999999999999996,-4.5,-6.300000000000001,-6.5,-4.9,-4.199999999999999,-4.9,-3.299999999999999,-1.7999999999999994,-1.9999999999999991,-1.9,0,-1
8575,8575,2018,12,12,7,5,4,-1.1,-1.1,0.2,1.4,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,2.450908984,1.758,2.56,-3.299999999999999,-1.7999999999999994,-1.9999999999999991,-2.799999999999999,0.400000000000001,3.1000000000000005,3.000000000000001,1.8000000000000005,1.7000000000000004,-0.39999999999999925,-0.09999999999999964,0.0,-0.3999999999999999,-1.9,-1.8999999999999995,-3.4,-1.8,-3.2,-3.0,-2.8,32.9,1,-1
8576,8576,2018,12,12,7,6,4,0.2,0.2,1.4,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,2.450908984,1.758,2.56,-1.7999999999999994,-1.9999999999999991,-2.799999999999999,0.400000000000001,3.1000000000000005,3.000000000000001,1.8000000000000005,1.7000000000000004,-0.39999999999999925,-0.09999999999999964,0.0,-0.3999999999999999,-1.9,-1.8999999999999995,-3.4,-1.8,-3.2,-3.0,-2.8,-4.5,33.4,1,-1
8578,8578,2018,12,12,7,8,4,-3.1,-3.1,-1.4999999999999998,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,2.450908984,1.758,2.56,-2.799999999999999,0.400000000000001,3.1000000000000005,3.000000000000001,1.8000000000000005,1.7000000000000004,-0.39999999999999925,-0.09999999999999964,0.0,-0.3999999999999999,-1.9,-1.8999999999999995,-3.4,-1.8,-3.2,-3.0,-2.8,-4.5,-4.7,6.100000000000002,20.099999999999998,1,1
8580,8580,2018,12,12,7,10,4,-1.4,-1.4,0.4,0.0,0.5,1.3000000000000005,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,2.450908984,1.758,2.56,3.1000000000000005,3.000000000000001,1.8000000000000005,1.7000000000000004,-0.39999999999999925,-0.09999999999999964,0.0,-0.3999999999999999,-1.9,-1.8999999999999995,-3.4,-1.8,-3.2,-3.0,-2.8,-4.5,-4.7,6.100000000000002,14.600000000000001,18.8,7.199999999999999,1,-1
