,date,time,abstract,sentiment_score
0,2018-06-29,19:40:15+0000,Some of the biggest lenders are paying out more than 100 percent of their expected profits.,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}"
1,2018-06-28,20:30:08+0000,"The Federal Reserve gave clean bills of health to top banks, but told Goldman Sachs and Morgan Stanley to freeze shareholder payouts at last year’s levels.","{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.3716}"
2,2018-06-27,23:30:51+0000,"The German lender, already in regulators’ bad books, may struggle to pass the second leg of the stress tests.","{'neg': 0.35, 'neu': 0.65, 'pos': 0.0, 'compound': -0.8225}"
3,2018-06-25,09:00:10+0000,The bond market’s yield curve is perilously close to predicting a recession — something it has done with surprising accuracy — and it’s become a big topic on Wall Street.,"{'neg': 0.097, 'neu': 0.83, 'pos': 0.073, 'compound': -0.1779}"
4,2018-06-18,23:35:34+0000,The new president of the Wall Street regulator said good times such as these can lead to scandals.,"{'neg': 0.145, 'neu': 0.724, 'pos': 0.131, 'compound': -0.0772}"
5,2018-06-15,13:06:42+0000,The central bank is fine tuning its money markets machinery. Will it do the job?,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2023}"
6,2018-06-21,20:30:04+0000,"The first round of the Fed’s annual stress tests found banks are prepared to withstand a downturn, which could presage big shareholder payouts next week.","{'neg': 0.105, 'neu': 0.824, 'pos': 0.071, 'compound': -0.2263}"
7,2018-06-13,23:27:20+0000,Only recently has the Federal Reserve tried to communicate directly and transparently to the public. Its new chairman is pushing ahead on that frontier.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,2018-06-14,00:03:45+0000,The Fed chairman said the numbers showed no signs that trade tensions are dampening the economy. Was that the right approach?,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.5994}"
9,2018-06-11,23:54:48+0000,"When it’s easier to comparison shop online, businesses are less likely to raise prices — but you wouldn’t know that by looking at official inflation data.","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
10,2018-06-10,18:34:44+0000,"The Federal Reserve is expected to raise interest rates, and the European Central Bank will discuss tapering its stimulus. The U.S. will release its list of tariffs on Chinese goods.","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4588}"
11,2018-05-31,10:06:12+0000,"The German lender, already in trouble with supervisors, must in the coming weeks go through some daunting regulatory tests.","{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4019}"
12,2018-05-30,15:30:19+0000,"The Fed proposed loosening the Volcker Rule, which prevents banks from trading with depositors’ money. The move is expected to give banks more room for complex trades.","{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.0772}"
13,2018-05-23,18:13:40+0000,The Federal Reserve released minutes from its May meeting on Wednesday. The minutes indicate officials are more worried about inflation falling below 2 percent than overheating.,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.4754}"
14,2018-05-21,23:00:48+0000,"Softening the rule, which prohibits banks from making speculative but profitable wagers, is part of the White House’s deregulatory push.","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6187}"
15,2018-05-20,20:05:01+0000,"Also, a public comment period on proposed tariffs on Chinese imports ends, and Disney tries to kick a Memorial Day slump with a new “Star Wars” movie.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,2018-05-11,18:42:31+0000,"The gap between short- and long-term interest rates has shrunk, and if the trend intensifies, it may be a classic harbinger of recession.","{'neg': 0.109, 'neu': 0.775, 'pos': 0.116, 'compound': 0.0516}"
17,2018-04-16,19:14:46+0000,"Richard Clarida, a former Treasury official, is not expected to veer from the Fed’s gradual approach to raising interest rates.","{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5859}"
18,2018-04-27,09:00:07+0000,The figure falls short of President Trump’s goal of at least 3 percent. But most forecasters expect a stronger pace for the rest of the year.,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.4336}"
19,2018-04-26,09:00:05+0000,"Many Americans are just beginning to climb out of the Great Recession, yet policymakers are debating whether the economy is on the cusp of overheating.","{'neg': 0.094, 'neu': 0.769, 'pos': 0.137, 'compound': 0.3182}"
20,2018-04-07,00:03:00+0000,"In his inaugural speech, the new Fed chairman tried to focus on the strength of the economy even as a spiraling tariff battle with China spooked investors.","{'neg': 0.087, 'neu': 0.805, 'pos': 0.107, 'compound': 0.1531}"
21,2018-04-03,16:31:17+0000,The appointment of the current San Francisco Fed chief brings policymaking experience to a role seen as one of the Fed’s most influential positions.,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4927}"
22,2018-04-01,18:55:25+0000,"Companies in Britain face a deadline to publish gender pay gaps, the Fed’s new chairman will speak and the Saudi crown prince wraps up his American tour.","{'neg': 0.053, 'neu': 0.947, 'pos': 0.0, 'compound': -0.1027}"
23,2018-03-26,23:22:35+0000,"Progressive groups want a New York Fed chief who is independent of the financial sector, a voice for labor and a reflection of diversity.","{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.0772}"
24,2018-03-25,02:00:18+0000,"The president of the Federal Reserve Bank of New York is set to retire this year. One possible replacement is John Williams, who has led the San Francisco Fed since 2011.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,2018-03-21,18:03:51+0000,"The Federal Reserve, buoyed by a strengthening economy, raised rates for a sixth time in three years and indicated another two increases are still expected this year.","{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4939}"
26,2018-03-21,09:00:06+0000,Fed policymakers are expected to increase the benchmark interest rate by a quarter-point and signal their view on whether the economy is overheating.,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6486}"
27,2018-03-20,09:00:07+0000,Some economists say the recovery could continue for years. But many see the seeds of the next crisis being sown in government policy choices.,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.6249}"
28,2018-03-19,01:00:01+0000,"A plan to revamp how digital revenue is taxed in Europe is expected. Dropbox is poised to go public, and tariffs on steel and aluminum will go into effect.","{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.25}"
29,2018-03-12,18:55:50+0000,"The economy is sending mixed signals on wages. Figuring out what’s really happening is complicated by data that’s volatile, and may be getting worse.","{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4767}"
30,2018-03-05,01:08:12+0000,"A provision in a Senate bill aimed at easing Dodd-Frank’s restrictions on smaller banks could pave the way for rollbacks for big banks, critics say.","{'neg': 0.087, 'neu': 0.833, 'pos': 0.079, 'compound': -0.0516}"
31,2018-03-02,17:28:00+0000,The company is under pressure from regulators to significantly improve its governance and correct years of misconduct.,"{'neg': 0.109, 'neu': 0.746, 'pos': 0.144, 'compound': 0.1779}"
32,2018-02-27,13:30:14+0000,Jerome H. Powell told Congress that the economy is healthy and that he plans to continue the Fed’s current course.,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}"
33,2018-02-26,02:10:50+0000,"New data may show that bonuses played a role in consumer spending last month. Also, Chinese leaders will confirm a new slate of government officials.","{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.7184}"
34,2018-02-21,19:18:19+0000,"The Fed has gained confidence the economy is strong enough to continue raising interest rates, according to the minutes of its most recent meeting.","{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.9042}"
35,2018-02-02,23:34:49+0000,"After a scandal involving fraudulent accounts, the central bank restricted the growth of Wells Fargo, which said it would replace four board members.","{'neg': 0.287, 'neu': 0.561, 'pos': 0.152, 'compound': -0.6249}"
36,2018-02-04,23:44:40+0000,The landmark settlement between Wells Fargo and the Fed shows regulators’ new emphasis on making board members responsible for their institutions’ conduct.,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.5574}"
37,2018-02-09,20:20:42+0000,The reckless borrowing that led up to the financial crisis of 2008 does not seem to have reoccurred. But there could be cracks in the credit markets.,"{'neg': 0.204, 'neu': 0.719, 'pos': 0.078, 'compound': -0.6369}"
38,2018-02-06,00:59:41+0000,"If stocks continue to fall, it won’t be because the president’s tax policies are failing, but because they may overheat the economy, spurring inflation.","{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.2846}"
39,2018-02-06,12:31:10+0000,"The owner of The Los Angeles Times is close to a deal to sell the newspaper to Patrick Soon-Shiong, a billionaire Los Angeles doctor.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
