Date,US MIR % (6mo),EU MIR %
01/01/2018,ND,0
01/02/2018,1.61,0
01/03/2018,1.59,0
01/04/2018,1.60,0
01/05/2018,1.58,0
01/08/2018,1.60,0
01/09/2018,1.60,0
01/10/2018,1.59,0
01/11/2018,1.58,0
01/12/2018,1.59,0
01/15/2018,ND,0
01/16/2018,1.63,0
01/17/2018,1.63,0
01/18/2018,1.63,0
01/19/2018,1.62,0
01/22/2018,1.65,0
01/23/2018,1.63,0
01/24/2018,1.63,0
01/25/2018,1.64,0
01/26/2018,1.64,0
01/29/2018,1.66,0
01/30/2018,1.66,0
01/31/2018,1.66,0
02/01/2018,1.64,0
02/02/2018,1.65,0
02/05/2018,1.67,0
02/06/2018,1.69,0
02/07/2018,1.73,0
02/08/2018,1.73,0
02/09/2018,1.73,0
02/12/2018,1.82,0
02/13/2018,1.80,0
02/14/2018,1.81,0
02/15/2018,1.82,0
02/16/2018,1.83,0
02/19/2018,ND,0
02/20/2018,1.87,0
02/21/2018,1.85,0
02/22/2018,1.84,0
02/23/2018,1.85,0
02/26/2018,1.87,0
02/27/2018,1.87,0
02/28/2018,1.86,0
03/01/2018,1.85,0
03/02/2018,1.86,0
03/05/2018,1.86,0
03/06/2018,1.87,0
03/07/2018,1.87,0
03/08/2018,1.89,0
03/09/2018,1.89,0
03/12/2018,1.89,0
03/13/2018,1.90,0
03/14/2018,1.94,0
03/15/2018,1.95,0
03/16/2018,1.96,0
03/19/2018,1.99,0
03/20/2018,1.97,0
03/21/2018,1.95,0
03/22/2018,1.95,0
03/23/2018,1.92,0
03/26/2018,1.94,0
03/27/2018,1.93,0
03/28/2018,1.95,0
03/29/2018,1.93,0
03/30/2018,ND,0
04/02/2018,1.92,0
04/03/2018,1.92,0
04/04/2018,1.90,0
04/05/2018,1.93,0
04/06/2018,1.91,0
04/09/2018,1.93,0
04/10/2018,1.93,0
04/11/2018,1.95,0
04/12/2018,1.95,0
04/13/2018,1.97,0
04/16/2018,1.98,0
04/17/2018,2.02,0
04/18/2018,2.01,0
04/19/2018,2.01,0
04/20/2018,2.01,0
04/23/2018,2.04,0
04/24/2018,2.05,0
04/25/2018,2.03,0
04/26/2018,2.02,0
04/27/2018,2.02,0
04/30/2018,2.04,0
05/01/2018,2.05,0
05/02/2018,2.03,0
05/03/2018,2.02,0
05/04/2018,2.03,0
05/07/2018,2.05,0
05/08/2018,2.05,0
05/09/2018,2.05,0
05/10/2018,2.05,0
05/11/2018,2.06,0
05/14/2018,2.09,0
05/15/2018,2.09,0
05/16/2018,2.09,0
05/17/2018,2.10,0
05/18/2018,2.09,0
05/21/2018,2.14,0
05/22/2018,2.13,0
05/23/2018,2.11,0
05/24/2018,2.09,0
05/25/2018,2.07,0
05/28/2018,ND,0
05/29/2018,2.06,0
05/30/2018,2.08,0
