,date,time,abstract,sentiment_score
0,2019-06-28,19:52:21+0000,"Young adults are more likely to reside with their parents than previous generations did, leading to a need for guidelines on how to manage the stay.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,2019-06-29,15:26:37+0000,"Ms. Harris collected donations from 63,277 people, according to a campaign aide. The aide said 58 percent of those donors had not contributed to her campaign before.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,2019-06-28,18:41:44+0000,The German bank is said to be preparing a sweeping restructuring that will eliminate thousands of jobs and bring to an end its 20-year foray into Wall Street.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,2019-06-27,20:30:03+0000,"The Federal Reserve said the largest banks were generally well prepared to withstand a severe crisis, although Credit Suisse must improve its operations.","{'neg': 0.208, 'neu': 0.497, 'pos': 0.295, 'compound': 0.2023}"
4,2019-06-21,14:18:50+0000,Consumer advocates say the overdraft rule has helped people avoid excessive penalties — like the cup of coffee that ends up costing $38.,"{'neg': 0.089, 'neu': 0.81, 'pos': 0.101, 'compound': 0.0772}"
5,2019-06-25,14:44:16+0000,"The New Jersey senator is a gifted orator with a glittering résumé, but he often pulls back from political infighting. The debates offer him a chance to break out.","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3612}"
6,2019-06-25,23:28:01+0000,The social media company said it had signed 27 partners to its Libra project. But executives at some of those companies said they were approaching it warily.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,2019-06-25,17:00:06+0000,Mr. Powell underlined the Fed’s insulation from politics and kept the door open for interest rate cuts at a time of trade uncertainty.,"{'neg': 0.173, 'neu': 0.714, 'pos': 0.113, 'compound': -0.1531}"
8,2019-06-24,21:08:01+0000,"From Lyndon Johnson to Richard Nixon, presidents have long had fraught relationships with Fed chairs.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,2019-06-20,11:00:06+0000,"A New York hotel union is directing donations to the mayor, with an eye on influencing the next mayor’s race in addition to the presidential contest.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,2019-06-21,15:52:00+0000,"The presidents of the St. Louis and Minneapolis branches of the Federal Reserve want rates cut now, and even the central bank’s vice chair says uncertainty is growing.","{'neg': 0.143, 'neu': 0.762, 'pos': 0.095, 'compound': -0.3612}"
