,date,time,abstract,sentiment_score
0,2018-06-21,22:16:45+0000,"Glitchy enforcement of a new Facebook political ad policy is creating headaches for small businesses, news publishers, and other advertisers.","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.296}"
1,2018-06-22,13:00:01+0000,"This week, tech companies weighed in on the separation of children from their migrant parents at the Mexico border. Here’s why tech has become more activist.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,2018-06-14,23:49:16+0000,"The company introduced new policies in response to criticism of its role in the 2016 election, but news outlets say journalism can now be mislabeled political content.","{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.2382}"
3,2018-06-29,18:15:00+0000,"Calls to eliminate the agency charged with enforcing immigration laws, mostly rooted on the political fringe, have gained traction among progressive candidates.","{'neg': 0.074, 'neu': 0.82, 'pos': 0.107, 'compound': 0.2023}"
4,2018-06-27,09:00:14+0000,"It was a night of rebellious Democrats, who backed progressive insurgents, and loyal Republicans, who helped incumbents backed by President Trump persevere.","{'neg': 0.09, 'neu': 0.694, 'pos': 0.216, 'compound': 0.2732}"
5,2018-06-27,01:17:18+0000,"The president helped lift South Carolina’s governor and a House candidate in New York, and the Democrats’ liberal wing had its biggest wins yet","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5719}"
6,2018-06-29,00:36:11+0000,Few issues are as rooted in the political culture of Republicans as the Supreme Court. They hope for a big boost in the midterms.,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.8481}"
7,2018-06-15,19:41:40+0000,A survey shows a sharp partisan split in consumer confidence. But a third of Democrats say President Trump deserves some credit for economic gains.,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.8074}"
8,2018-06-27,14:21:09+0000,The ruling could cost public-sector unions more than a million members. But the ones who stay could make labor more powerful.,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.4754}"
9,2018-06-26,21:11:34+0000,"The president tweeted something untrue about Representative Maxine Waters. Outrage ensued online, but that only helped spread disinformation.","{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.2846}"
10,2018-06-28,01:13:24+0000,"Democrats will focus on Justice Kennedy’s replacement in an attempt to motivate voters in the fall, while conservatives will pressure vulnerable Democratic senators in red states.","{'neg': 0.128, 'neu': 0.685, 'pos': 0.187, 'compound': 0.4404}"
11,2018-06-26,09:00:01+0000,"In New York, establishment candidates face tough challenges. In Utah, Mitt Romney is back. President Trump has weighed in on South Carolina’s runoff for governor.","{'neg': 0.058, 'neu': 0.891, 'pos': 0.05, 'compound': -0.0516}"
12,2018-06-26,17:27:46+0000,"The refusal by Senate Republicans to act on President Obama’s nomination of Merrick Garland to the Supreme Court, paving the way for Justice Gorsuch, reverberated powerfully after Tuesday’s rulings.","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.7906}"
13,2018-06-30,16:59:57+0000,"The looming battle over the Supreme Court opening highlights the fissure between establishment Democrats and activists pressing a liberal, anti-Trump agenda.","{'neg': 0.166, 'neu': 0.688, 'pos': 0.146, 'compound': 0.128}"
