,date,time,abstract,sentiment_score
0,2018-06-27,22:10:42+0000,"Regulators are clamping down on the credit bureau in the aftermath of the breach, which left 147 million people vulnerable.","{'neg': 0.084, 'neu': 0.8, 'pos': 0.116, 'compound': 0.1779}"
1,2018-06-26,23:04:45+0000,"The Wall Street bank is betting its brokerage business can help drive growth. Mary Schapiro, who led the S.E.C. from 2009 to 2012, may be a guide.","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.6486}"
2,2018-06-29,19:40:15+0000,Some of the biggest lenders are paying out more than 100 percent of their expected profits.,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}"
3,2018-06-29,11:56:55+0000,The Fed’s tests of the big banks produced some clear winners and losers. Deutsche Bank fared worst.,"{'neg': 0.286, 'neu': 0.496, 'pos': 0.218, 'compound': -0.4215}"
4,2018-06-28,20:30:08+0000,"The Federal Reserve gave clean bills of health to top banks, but told Goldman Sachs and Morgan Stanley to freeze shareholder payouts at last year’s levels.","{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.3716}"
5,2018-06-27,23:30:51+0000,"The German lender, already in regulators’ bad books, may struggle to pass the second leg of the stress tests.","{'neg': 0.35, 'neu': 0.65, 'pos': 0.0, 'compound': -0.8225}"
6,2018-06-28,19:09:49+0000,Shares of the largest banks closed down Wednesday for the 13th straight trading day.,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.4767}"
7,2018-06-24,14:11:53+0000,The country’s central bank freed up more than $100 billion for lending as Beijing tries to sustain growth without worsening debt problems.,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.8792}"
8,2018-06-25,09:00:10+0000,The bond market’s yield curve is perilously close to predicting a recession — something it has done with surprising accuracy — and it’s become a big topic on Wall Street.,"{'neg': 0.097, 'neu': 0.83, 'pos': 0.073, 'compound': -0.1779}"
9,2018-06-26,11:16:19+0000,"Education debt is a priority for younger employees. A new program from the pharmaceutical company Abbott adds a twist: promoting retirement saving, too.","{'neg': 0.109, 'neu': 0.783, 'pos': 0.109, 'compound': 0.0}"
10,2018-06-22,00:17:28+0000,"European leaders agreed to a plan that would finally take Athens off financial life support, effectively declaring an end to a crisis that nearly wrecked the euro.","{'neg': 0.125, 'neu': 0.64, 'pos': 0.235, 'compound': 0.3818}"
11,2018-06-22,21:35:25+0000,The bank stress tests suggest Goldman Sachs and Morgan Stanley may end up with smaller stock buybacks. But the calculations are far from straightforward.,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4215}"
12,2018-06-29,18:09:58+0000,"Driven by the needs of the financial industry, researchers are working on ways to manage vast computer systems down to 100 billionths of a second.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,2018-06-21,17:57:04+0000,The conviction and sentencing of the former C.E.O. of Anglo Irish Bank adds one more member to an exclusive but disgraced list.,"{'neg': 0.207, 'neu': 0.744, 'pos': 0.049, 'compound': -0.6187}"
14,2018-06-22,19:36:56+0000,The head of the Consumer Federation of America said the increase was encouraging because those who check their scores know more about how the scores work.,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.6908}"
