Data Source in SDW: http://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=2b6c7cf45337258767bf9244aaa28a8e&org.apache.struts.taglib.html.TOKEN=e94f4c0112b0249b43e912d95f719be1&org.apache.struts.taglib.html.TOKEN=acf658751185f1789ac0703140258ea6&df=true&FREQ.67=B&MAX_DOWNLOAD_SERIES=500&DATASET=0&legendRef=reference&node=9691107&SERIES_MAX_NUM=50&activeTab=FM&q=&type=&trans=N
,FM.B.U2.EUR.4F.KR.DFR.CHG,FM.B.U2.EUR.4F.KR.DFR.LEV,FM.B.U2.EUR.4F.KR.MLFR.CHG,FM.B.U2.EUR.4F.KR.MLFR.LEV,FM.B.U2.EUR.4F.KR.MRR.CHG,FM.B.U2.EUR.4F.KR.MRR_FR.LEV,FM.D.U2.EUR.4F.KR.DFR.CHG,FM.D.U2.EUR.4F.KR.DFR.LEV,FM.D.U2.EUR.4F.KR.MLFR.CHG,FM.D.U2.EUR.4F.KR.MLFR.LEV,FM.D.U2.EUR.4F.KR.MRR_FR.LEV
,"Business, ECB Deposit facility - date of changes (raw data), Change in percentage points compared to previous rate","Business, ECB Deposit facility - date of changes (raw data), Level","Business, ECB Marginal lending facility - date of changes (raw data), Change in percentage points compared to previous rate","Business, ECB Marginal lending facility - date of changes (raw data), Level","Business, ECB Main refinancing operations - irrespective of which type of rate fixed or variable (date of changes), Change in percentage points compared to previous rate","Business, ECB Main refinancing operations - fixed rate tenders (fixed rate) (date of changes), Level","Daily, ECB Deposit facility - date of changes (raw data), Change in percentage points compared to previous rate","Daily, ECB Deposit facility - date of changes (raw data), Level","Daily, ECB Marginal lending facility - date of changes (raw data), Change in percentage points compared to previous rate","Daily, ECB Marginal lending facility - date of changes (raw data), Level","Daily, ECB Main refinancing operations - fixed rate tenders (fixed rate) (date of changes), Level"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Percent ],[Percent per annum ],[Percent ],[Percent per annum ],[Percent ],[Percent per annum ],[Percent ],[Percent per annum ],[Percent ],[Percent per annum ],[Percent per annum ]
2019-11-10,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-09,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-08,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-07,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-06,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-05,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-04,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-03,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-02,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-11-01,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-31,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-30,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-29,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-28,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-27,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-26,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-25,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-24,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-23,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-22,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-21,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-20,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-19,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-18,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-17,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-16,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-15,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-14,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-13,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-12,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-11,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-10,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-09,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-08,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-07,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-06,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-05,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-04,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-03,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-02,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-10-01,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-09-30,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-09-29,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-09-28,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-09-27,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-09-26,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-09-25,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-09-24,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
2019-09-23,,,,,,,-0.1000,-0.5000,0.0000,0.2500,0.0000
